-157.27	64.12	258	75	-173	166	84	-16	33	1978
-141.39	60.5	271	13	96	84	77	89	19	1979
-140.7	60.37	353	44	-36	111	66	-128	15	1979
-141.2	60.63	276	15	121	64	77	82	15	1979
-147.53	61.47	80	57	-32	188	64	-143	39	1980
-151.53	63.49	173	66	3	82	87	156	15	1980
-141.18	60.12	311	15	128	92	78	81	15	1982
-140.75	61.39	305	39	109	101	53	75	13	1983
-141.44	60.21	260	15	85	85	75	91	17	1983
-149.02	62.15	248	77	-177	157	87	-13	19	1984
-146.65	60.4	325	12	169	66	88	79	31	1984
-149.98	66.37	23	69	11	289	80	158	10	1985
-149.94	66.53	305	71	-169	211	79	-19	12	1985
-150.45	66.47	7	66	7	274	83	156	13	1985
-153.01	65.84	277	71	-168	183	79	-20	15	1986
-141.09	61.56	114	44	110	268	49	72	15	1987
-157.02	67.3	345	39	-95	171	51	-86	15	1989
-140.82	60.18	228	25	44	97	73	109	15	1989
-148.44	66.28	277	43	125	53	56	61	15	1991
-150.7	61.46	322	16	-134	188	78	-78	36	1991
-146.33	60.2	108	44	141	228	64	53	15	1995
-147.73	69.59	210	44	4	117	87	134	25	1995
-148.5	65.28	199	77	-1	289	89	-167	15	1995
-144.96	63.56	238	46	49	109	57	125	15	1996
-149.71	61.49	80	10	-113	283	81	-86	15	1997
-154.76	65.03	254	57	175	347	86	33	15	2000
-145.2	60.83	184	10	10	85	88	100	33	2000
-145.6	60.15	253	8	101	62	82	88	15	2000
-151.74	64.74	290	59	-157	188	71	-33	15	2001
-140.31	61.47	323	45	120	104	52	63	15	2001
-146.41	60.67	246	29	102	53	62	84	18	2002
-146.76	63.2	37	73	12	304	78	163	15	2002
-148.13	63.58	262	89	179	352	89	1	16	2002
-144.89	63.23	296	71	171	29	82	19	15	2002
-145.5	63.32	258	24	103	63	66	84	15	2002
-141.82	62.22	66	36	48	294	64	116	15	2002
-148.29	63.41	204	36	35	84	70	121	15	2002
-143.49	62.99	151	63	178	242	88	27	15	2002
-145.47	63.33	342	6	124	128	85	86	15	2002
-145.84	63.41	103	36	57	322	60	112	15	2003
-147.23	68.88	344	24	-87	161	66	-92	15	2003
-140.56	61.45	235	72	-4	326	86	-162	12	2004
-151.38	63.18	48	62	177	139	87	28	24	2004
-147.68	60.53	349	35	-93	173	55	-88	32	2004
-147.82	60.5	341	38	-122	199	59	-68	35	2005
-143.65	63.2	317	45	67	169	49	112	17	2005
-142.16	66.46	54	78	10	322	81	167	14	2006
-142.23	66.44	55	63	-8	149	83	-152	17	2006
-144.88	69.69	199	71	4	108	86	161	14	2007
-143.83	60.83	173	35	-29	287	74	-122	20	2008
-146.31	69.39	279	74	-175	187	85	-16	21	2010
-149.5	60.74	333	71	-168	239	79	-20	36	2010
-150.89	63.57	270	85	178	0	88	5	18	2011
-147.61	60.29	47	43	-45	173	61	-124	30	2012
-144.52	69.26	296	78	174	27	84	12	17	2013
-140.3	61.28	253	86	-3	344	87	-176	23	2014
-140.31	61.32	71	86	1	341	89	176	25	2014
-140.07	61.36	252	80	2	162	88	170	27	2014
-140.34	60.41	282	57	179	12	89	33	19	2014
-140.4	60.36	266	60	-179	175	90	-30	28	2014
-148.98	65.27	296	51	-170	199	82	-39	19	2014
-149.01	65.11	299	59	-171	204	82	-32	27	2014
-149.11	65.2	294	55	-161	193	75	-36	24	2014
-142.7	62.64	140	79	-175	49	85	-11	20	2017
-151.17	63.1	314	41	5	220	86	131	27	2017
-147.42	60.68	327	18	-159	217	84	-73	27	2017
-144.78	69.74	103	77	175	194	85	13	12	2018
-144.67	69.83	176	53	-9	271	83	-143	34	2018
-144.23	69.68	200	79	5	109	85	168	15	2018
-144.26	69.66	196	65	-13	291	78	-154	12	2018
-144.36	69.68	196	36	-3	289	88	-126	15	2018
-144.94	69.63	301	51	-171	206	83	-40	13	2018
-156.14	67.94	82	43	-138	319	63	-55	21	2018
-151.55	65.35	262	71	-172	169	83	-19	25	2018
-153.42	65.4	201	66	-19	299	73	-155	18	2019
-144.67	69.32	180	61	-9	275	82	-150	21	2019
-140.54	61.58	87	28	63	297	65	103	17	2021
-147.23	64.43	152	64	165	249	76	26	15	2021
-141.18	60.15	266	22	104	70	68	84	20	2022
